j1: 0.461914, j2: 0.447021, j3: 0.528320, j4: 0.494141, j5: 0.417480, j6: 0.461914, safemode: 0, brake: 0, gripper: 1
j1: 0.360840, j2: 0.444336, j3: 0.526611, j4: 0.491455, j5: 0.389404, j6: 0.360840, safemode: 0, brake: 0, gripper: 0
j1: 0.363770, j2: 0.445068, j3: 0.541025, j4: 0.488525, j5: 0.389160, j6: 0.363770, safemode: 0, brake: 0, gripper: 0
j1: 0.363770, j2: 0.444824, j3: 0.572754, j4: 0.502686, j5: 0.427002, j6: 0.368408, safemode: 0, brake: 0, gripper: 0
j1: 0.363770, j2: 0.446777, j3: 0.578613, j4: 0.504883, j5: 0.448975, j6: 0.367920, safemode: 0, brake: 0, gripper: 0
j1: 0.363770, j2: 0.448242, j3: 0.585449, j4: 0.507812, j5: 0.466553, j6: 0.371094, safemode: 0, brake: 0, gripper: 0
j1: 0.363770, j2: 0.446289, j3: 0.594482, j4: 0.511963, j5: 0.460150, j6: 0.371094, safemode: 0, brake: 0, gripper: 0
j1: 0.363770, j2: 0.447754, j3: 0.595703, j4: 0.516113, j5: 0.460709, j6: 0.367188, safemode: 0, brake: 0, gripper: 1
j1: 0.363770, j2: 0.448730, j3: 0.576416, j4: 0.509033, j5: 0.460482, j6: 0.367920, safemode: 0, brake: 0, gripper: 1
j1: 0.363770, j2: 0.447021, j3: 0.526611, j4: 0.498535, j5: 0.468701, j6: 0.370850, safemode: 0, brake: 0, gripper: 1
j1: 0.461914, j2: 0.447021, j3: 0.528320, j4: 0.494141, j5: 0.417480, j6: 0.461914, safemode: 0, brake: 0, gripper: 1
